AXIOM TYPE,AXIOM,NATURAL LANGUAGE TRANSLATION
SubClassOf,HPVCO_00000015 ⊑ ∃ HPVCO_00000175.HPVCO_00000152,every cervical cancer is a type of something that has symptom a vaginal bleeding
SubClassOf,HPVCO_00000049 ⊑ ∃ HPVCO_00000074.HPVCO_00000052,every hpv vaccine uptake is a type of something that has driver a hpv vaccine related social norm
SubClassOf,HPVCO_00000001 ⊑ ∃ HPVCO_00000056.HPVCO_00000059,every hpv infection is a type of something whose causally related to is a hpv related psychological stress
SubClassOf,HPVCO_00000088 ⊑ ∃ HPVCO_00000056.HPVCO_00000018,every miscarriage prevention drug is a type of something whose causally related to is a vaginal cancer
SubClassOf,HPVCO_00000064 ⊑ HPVCO_00000060,every cost of hpv surgery is a type of a financial impact of hpv
SubClassOf,HPVCO_00000039 ⊑ HPVCO_00000035,every flat wart is a type of a wart
SubClassOf,HPVCO_00000009 ⊑ ∃ HPVCO_00000056.HPVCO_00000020,every smoking is a type of something whose causally related to is a throat cancer
SubClassOf,HPVCO_00000076 ⊑ HPVCO_00000075,every hpv vaccine acceptance is a type of an attitude towards hpv vaccine
SubClassOf,HPVCO_00000002 ⊑ ∃ HPVCO_00000056.HPVCO_00000015,every hpv infection of the anus/genital region is a type of something whose causally related to is a cervical cancer
SubClassOf,HPVCO_00000114 ⊑ HPVCO_00000057,every pap test is a type of a hpv testing/screeninghpv diagnostic test
SubClassOf,HPVCO_00000017 ⊑ HPVCO_00000014,every anal cancer is a type of a cancer
SubClassOf,HPVCO_00000061 ⊑ HPVCO_00000059,every social impact of hpv is a type of a hpv related psychological stress
SubClassOf,HPVCO_00000190 ⊑ HPVCO_00000179,every cancer management stakeholder is a type of a stakeholder
SubClassOf,HPVCO_00000016 ⊑ ∃ HPVCO_00000197.HPVCO_00000108,every penile cancer is a type of something that cans potentially be prevented by a circumcision
SubClassOf,HPVCO_00000015 ⊑ ∃ HPVCO_00000175.HPVCO_00000141,every cervical cancer is a type of something that has symptom a pelvic pain
SubClassOf,HPVCO_00000107 ⊑ ∃ HPVCO_00000101.HPVCO_00000016,every penectomy is a type of something whose treat is a penile cancer
SubClassOf,HPVCO_00000076 ⊑ ∃ HPVCO_00000056.HPVCO_00000068,every hpv vaccine acceptance is a type of something whose causally related to is a positive hpv related social norm
SubClassOf,HPVCO_00000181 ⊑ HPVCO_00000191,every family member is a type of a hpv infection management stakeholder
SubClassOf,HPVCO_00000108 ⊑ ∃ HPVCO_00000101.HPVCO_00000016,every circumcision is a type of something whose treat is a penile cancer
SubClassOf,HPVCO_00000198 ⊑ ∃ HPVCO_00000056.HPVCO_00000020,every radiation exposure is a type of something whose causally related to is a throat cancer
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000111.HPVCO_00000120,every throat cancer is a type of something that is diagnosed by a neurological exam
SubClassOf,HPVCO_00000010 ⊑ HPVCO_00000032,every vagi is a type of an anatomical site
SubClassOf,HPVCO_00000174 ⊑ ∃ HPVCO_00000056.HPVCO_00000019,every advanced age is a type of something whose causally related to is a vulvar cancer
SubClassOf,HPVCO_00000015 ⊑ ∃ HPVCO_00000197.HPVCO_00000133,every cervical cancer is a type of something that cans potentially be prevented by an avoiding needle sharing
SubClassOf,HPVCO_00000045 ⊑ HPVCO_00000058,every safe sexual behavior is a type of a hpv infection risk reduction strategy
SubClassOf,HPVCO_00000103 ⊑ ∃ HPVCO_00000101.HPVCO_00000020,every radiation is a type of something whose treat is a throat cancer
SubClassOf,HPVCO_00000019 ⊑ ∃ HPVCO_00000111.HPVCO_00000122,every vulvar cancer is a type of something that is diagnosed by a pet-ct scan
SubClassOf,HPVCO_00000160 ⊑ HPVCO_00000146,every sore throat is a type of a throat and mouth symptom
SubClassOf,HPVCO_00000011 ⊑ HPVCO_00000005,every alcoholism is a type of a destructive behavior
SubClassOf,HPVCO_00000103 ⊑ ∃ HPVCO_00000101.HPVCO_00000017,every radiation is a type of something whose treat is an anal cancer
SubClassOf,HPVCO_00000128 ⊑ ∃ HPVCO_00000056.HPVCO_00000018,every vaginal intraepithelial neoplasia (vain)atypical cells in the vagi is a type of something whose causally related to is a vaginal cancer
SubClassOf,HPVCO_00000017 ⊑ ∃ HPVCO_00000175.HPVCO_00000159,every anal cancer is a type of something that has symptom an itiching around anu
SubClassOf,HPVCO_00000093 ⊑ HPVCO_00000089,every indirect financial impact of cancer is a type of a financial impact of cancer
SubClassOf,HPVCO_00000042 ⊑ ∃ HPVCO_00000056.HPVCO_00000019,every weakened immune system is a type of something whose causally related to is a vulvar cancer
SubClassOf,HPVCO_00000079 ⊑ HPVCO_00000006,every adapting to a lifestyle with hpv is a type of a constructive behavior
SubClassOf,HPVCO_00000013 ⊑ ∃ BFO_0000050.HPVCO_00000030,every throat is a type of something whose part of is a human
SubClassOf,HPVCO_00000016 ⊑ ∃ HPVCO_00000111.HPVCO_00000121,every penile cancer is a type of something that is diagnosed by a biopsy
SubClassOf,HPVCO_00000187 ⊑ HPVCO_00000190,every friend is a type of a cancer management stakeholder
SubClassOf,HPVCO_00000087 ⊑ HPVCO_00000086,every prescribable drug is a type of a medication
SubClassOf,HPVCO_00000127 ⊑ HPVCO_00000126,every precancerous conditions of the vulva or vagi is a type of a symptom
SubClassOf,HPVCO_00000002 ⊑ ∃ HPVCO_00000056.HPVCO_00000017,every hpv infection of the anus/genital region is a type of something whose causally related to is an anal cancer
SubClassOf,HPVCO_00000017 ⊑ ∃ HPVCO_00000111.HPVCO_00000121,every anal cancer is a type of something that is diagnosed by a biopsy
SubClassOf,HPVCO_00000066 ⊑ HPVCO_00000060,every cost of hpv testing/screening is a type of a financial impact of hpv
SubClassOf,HPVCO_00000191 ⊑ ∃ HPVCO_00000180.HPVCO_00000044,every hpv infection management stakeholder is a type of something whose support is a hpv infection management stratergy
SubClassOf,HPVCO_00000140 ⊑ HPVCO_00000139,every maintaining a healthy diet is a type of a health maintenance strategy
SubClassOf,HPVCO_00000198 ⊑ HPVCO_00000097,every radiation exposure is a type of a cancer risk factor
SubClassOf,HPVCO_00000016 ⊑ ∀ HPVCO_00000147.HPVCO_00000007,every penile cancer is a type of something whose disease has location is a penis
SubClassOf,HPVCO_00000042 ⊑ HPVCO_00000097,every weakened immune system is a type of a cancer risk factor
SubClassOf,HPVCO_00000135 ⊑ HPVCO_00000139,every routine medical check-up is a type of a health maintenance strategy
SubClassOf,HPVCO_00000019 ⊑ ∃ HPVCO_00000111.HPVCO_00000116,every vulvar cancer is a type of something that is diagnosed by a colposcopic biopsy
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000111.HPVCO_00000121,every throat cancer is a type of something that is diagnosed by a biopsy
SubClassOf,HPVCO_00000182 ⊑ HPVCO_00000190,every co-worker is a type of a cancer management stakeholder
SubClassOf,HPVCO_00000049 ⊑ HPVCO_00000041,every hpv vaccine uptake is a type of a cancer risk reduction strategy
SubClassOf,HPVCO_00000017 ⊑ ∀ HPVCO_00000147.HPVCO_00000008,every anal cancer is a type of something whose disease has location is an anus
SubClassOf,HPVCO_00000145 ⊑ HPVCO_00000126,every pelvic and anal symptom is a type of a symptom
SubClassOf,HPVCO_00000080 ⊑ HPVCO_00000079,every adapting to hpv medication is a type of an adapting to a lifestyle with hpv
SubClassOf,HPVCO_00000110 ⊑ ∃ HPVCO_00000101.HPVCO_00000018,every palliative care is a type of something whose treat is a vaginal cancer
SubClassOf,HPVCO_00000069 ⊑ HPVCO_00000052,every negative hpv related social norm is a type of a hpv vaccine related social norm
SubClassOf,HPVCO_00000150 ⊑ HPVCO_00000126,every urination and bowel symptom is a type of a symptom
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000175.HPVCO_00000154,every vaginal cancer is a type of something that has symptom a watery vaginal discharge
SubClassOf,HPVCO_00000161 ⊑ HPVCO_00000146,every trouble swallowing is a type of a throat and mouth symptom
SubClassOf,HPVCO_00000077 ⊑ ∃ HPVCO_00000056.HPVCO_00000069,every embarrassment in getting hpv vaccine is a type of something whose causally related to is a negative hpv related social norm
SubClassOf,HPVCO_00000055 ⊑ ∃ HPVCO_00000056.HPVCO_00000069,every hpv vaccine refusal is a type of something whose causally related to is a negative hpv related social norm
SubClassOf,HPVCO_00000015 ⊑ HPVCO_00000014,every cervical cancer is a type of a cancer
SubClassOf,HPVCO_00000016 ⊑ ∃ HPVCO_00000197.HPVCO_00000138,every penile cancer is a type of something that cans potentially be prevented by a reduced tobacco usage
SubClassOf,HPVCO_00000083 ⊑ HPVCO_00000097,every history of cancer is a type of a cancer risk factor
SubClassOf,HPVCO_00000020 ⊑ ∀ HPVCO_00000147.HPVCO_00000013,every throat cancer is a type of something whose disease has location is a throat
SubClassOf,HPVCO_00000009 ⊑ ∃ HPVCO_00000056.HPVCO_00000017,every smoking is a type of something whose causally related to is an anal cancer
SubClassOf,HPVCO_00000162 ⊑ HPVCO_00000146,every lumps in throat is a type of a throat and mouth symptom
SubClassOf,HPVCO_00000019 ⊑ ∃ HPVCO_00000197.HPVCO_00000125,every vulvar cancer is a type of something that cans potentially be prevented by a pelvic exam
SubClassOf,HPVCO_00000024 ⊑ HPVCO_00000061,every hpv related stigma is a type of a social impact of hpv
